pd420 ryang69 mishra03
10006.0 -1.0 69.0 72.0
10010.00011 -1.0 68.10436 70.43473
10014.00021 -1.0 67.21786 68.88248
10018.00032 -1.0 66.3405 67.34324
10022.00042 -1.0 65.47226 65.817
10026.00053 -1.0 64.61316 64.30376
10030.00063 -1.0 63.76317 62.80351
10034.00074 -1.0 62.92232 61.31627
10038.00085 -1.0 62.09058 59.842
10042.00095 -1.0 61.26796 58.38073
10046.00106 -1.0 60.45445 56.93243
10050.00116 -1.0 59.65005 55.49711
10054.00127 -1.0 58.85477 54.07476
10058.00137 -1.0 58.06858 52.66538
10062.00148 -1.0 57.29151 51.26897
10066.00159 -1.0 56.52353 49.88551
10070.00169 -1.0 55.76464 48.51501
10074.0018 -1.0 55.01485 47.15746
10078.0019 -1.0 54.27416 45.81286
10082.00201 -1.0 53.54255 44.48121
10086.00211 -1.0 52.82002 43.16249
10090.00222 -1.0 52.10658 41.85671
10094.00233 -1.0 51.40222 40.56386
10098.00243 -1.0 50.70694 39.28394
10102.00254 -1.0 50.02072 38.01694
10106.00264 -1.0 49.34358 36.76286
10110.00275 -1.0 48.67551 35.52169
10114.00285 -1.0 48.01651 34.29344
10118.00296 -1.0 47.36656 33.07809
10122.00307 -1.0 46.72568 31.87565
10126.00317 -1.0 46.09385 30.6861
10130.00328 -1.0 45.47107 29.50945
10134.00338 -1.0 44.85735 28.34569
10138.00349 -1.0 44.25268 27.19482
10142.0036 -1.0 43.65705 26.05683
10146.0037 -1.0 43.07046 24.93171
10150.00381 -1.0 42.49291 23.81948
10154.00391 -1.0 41.9244 22.72011
10158.00402 -1.0 41.36492 21.63361
10162.00412 -1.0 40.81447 20.55997
10166.00423 -1.0 40.27305 19.49918
10170.00434 -1.0 39.74066 18.45126
10174.00444 -1.0 39.21728 17.41618
10178.00455 -1.0 38.70293 16.39395
10182.00465 -1.0 38.19759 15.38455
10186.00476 -1.0 37.70127 14.388
10190.00486 -1.0 37.21396 13.40428
10194.00497 -1.0 36.73565 12.43339
10198.00508 -1.0 36.26635 11.47533
10202.00518 -1.0 35.80606 10.53008
10206.00529 -1.0 35.35476 9.59766
10210.00539 -1.0 34.91246 8.67804
10214.0055 -1.0 34.47915 7.77124
10218.0056 -1.0 34.05483 6.87724
10222.00571 -1.0 33.6395 5.99604
10226.00582 -1.0 33.23315 5.12764
10230.00592 -1.0 32.83579 4.27203
10234.00603 -1.0 32.44741 3.42921
10238.00613 -1.0 32.068 2.59918
10242.00624 -1.0 31.69756 1.78192
10246.00634 -1.0 31.3361 0.97745
10250.00645 -1.0 30.9836 0.18574
10254.00656 -1.0 30.64007 -0.5932
10258.00666 -1.0 30.3055 -1.35937
10262.00677 -1.0 29.97989 -2.11278
10266.00687 -1.0 29.66323 -2.85344
10270.00698 -1.0 29.35553 -3.58135
10274.00708 -1.0 29.05678 -4.2965
10278.00719 -1.0 28.76697 -4.99892
10282.0073 -1.0 28.48612 -5.68859
10286.0074 -1.0 28.2142 -6.36553
10290.00751 -1.0 27.95122 -7.02974
10294.00761 -1.0 27.69718 -7.68122
10298.00772 -1.0 27.45207 -8.31997
10302.00782 -1.0 27.21589 -8.94601
10306.00793 -1.0 26.98863 -9.55933
10310.00804 -1.0 26.77031 -10.15994
10314.00814 -1.0 26.5609 -10.74784
10318.00825 -1.0 26.36041 -11.32304
10322.00835 -1.0 26.16884 -11.88555
10326.00846 -1.0 25.98618 -12.43535
10330.00856 -1.0 25.81243 -12.97247
10334.00867 -1.0 25.64759 -13.4969
10338.00878 -1.0 25.49166 -14.00864
10342.00888 -1.0 25.34462 -14.50771
10346.00899 -1.0 25.20649 -14.9941
10350.00909 -1.0 25.07724 -15.46783
10354.0092 -1.0 24.9569 -15.92888
10358.00931 -1.0 24.84544 -16.37728
10362.00941 -1.0 24.74287 -16.81301
10366.00952 -1.0 24.64918 -17.2361
10370.00962 -1.0 24.56438 -17.64653
10374.00973 -1.0 24.48845 -18.04431
10378.00983 -1.0 24.4214 -18.42946
10382.00994 -1.0 24.36322 -18.80196
10386.01005 -1.0 24.31391 -19.16184
10390.01015 -1.0 24.27347 -19.50908
10394.01026 -1.0 24.2419 -19.8437
10398.01036 -1.0 24.21918 -20.16569
10402.01047 -1.0 24.20532 -20.47507
10406.01057 -1.0 24.20032 -20.77184
10410.01068 -1.0 24.20417 -21.056
10414.01079 -1.0 24.21687 -21.32755
10418.01089 -1.0 24.23842 -21.5865
10422.011 -1.0 24.26881 -21.83285
10426.0111 -1.0 24.30805 -22.06661
10430.01121 -1.0 24.35612 -22.28778
10434.01131 -1.0 24.41302 -22.49637
10438.01142 -1.0 24.47876 -22.69238
10442.01153 -1.0 24.55333 -22.87581
10446.01163 -1.0 24.63673 -23.04666
10450.01174 -1.0 24.72895 -23.20495
10454.01184 -1.0 24.82999 -23.35068
10458.01195 -1.0 24.93985 -23.48384
10462.01205 -1.0 25.05852 -23.60445
10466.01216 -1.0 25.18601 -23.71251
10470.01227 -1.0 25.32231 -23.80801
10474.01237 -1.0 25.46741 -23.89098
10478.01248 -1.0 25.62132 -23.9614
10482.01258 -1.0 25.78402 -24.01929
10486.01269 -1.0 25.95553 -24.06465
10490.01279 -1.0 26.13583 -24.09748
10494.0129 -1.0 26.32493 -24.11778
10498.01301 -1.0 26.52281 -24.12557
10502.01311 -1.0 26.72948 -24.12084
10506.01322 -1.0 26.94493 -24.1036
10510.01332 -1.0 27.16917 -24.07385
10514.01343 -1.0 27.40218 -24.0316
10518.01353 -1.0 27.64397 -23.97685
10522.01364 -1.0 27.89452 -23.90961
10526.01375 -1.0 28.15385 -23.82987
10530.01385 -1.0 28.42195 -23.73765
10534.01396 -1.0 28.69881 -23.63294
10538.01406 -1.0 28.98443 -23.51576
10542.01417 -1.0 29.27881 -23.3861
10546.01427 -1.0 29.58194 -23.24397
10550.01438 -1.0 29.89382 -23.08937
10554.01449 -1.0 30.21446 -22.92232
10558.01459 -1.0 30.54384 -22.7428
10562.0147 -1.0 30.88196 -22.55083
10566.0148 -1.0 31.22883 -22.34641
10570.01491 -1.0 31.58443 -22.12954
10574.01501 -1.0 31.94877 -21.90023
10578.01512 -1.0 32.32184 -21.65849
10582.01523 -1.0 32.70363 -21.40431
10586.01533 -1.0 33.09416 -21.1377
10590.01544 -1.0 33.49341 -20.85866
10594.01554 -1.0 33.90138 -20.5672
10598.01565 -1.0 34.31806 -20.26333
10602.01576 -1.0 34.74346 -19.94704
10606.01586 -1.0 35.17758 -19.61834
10610.01597 -1.0 35.6204 -19.27724
10614.01607 -1.0 36.07193 -18.92374
10618.01618 -1.0 36.53216 -18.55783
10622.01628 -1.0 37.00109 -18.17954
10626.01639 -1.0 37.47872 -17.78886
10630.0165 -1.0 37.96504 -17.38579
10634.0166 -1.0 38.46006 -16.97034
10638.01671 -1.0 38.96376 -16.54251
10642.01681 -1.0 39.47615 -16.10232
10646.01692 -1.0 39.99723 -15.64975
10650.01702 -1.0 40.52698 -15.18482
10654.01713 -1.0 41.06541 -14.70753
10658.01724 -1.0 41.61252 -14.21788
10662.01734 -1.0 42.1683 -13.71588
10666.01745 -1.0 42.73274 -13.20153
10670.01755 -1.0 43.30586 -12.67484
10674.01766 -1.0 43.88763 -12.13581
10678.01776 -1.0 44.47807 -11.58444
10682.01787 -1.0 45.07716 -11.02074
10686.01798 -1.0 45.68491 -10.44471
10690.01808 -1.0 46.30131 -9.85636
10694.01819 -1.0 46.92636 -9.25569
10698.01829 -1.0 47.56005 -8.6427
10702.0184 -1.0 48.20239 -8.0174
10706.0185 -1.0 48.85337 -7.3798
10710.01861 -1.0 49.51298 -6.72989
10714.01872 -1.0 50.18123 -6.06768
10718.01882 -1.0 50.85811 -5.39318
10722.01893 -1.0 51.54362 -4.70639
10726.01903 -1.0 52.23775 -4.0073
10730.01914 -1.0 52.94051 -3.29594
10734.01924 -1.0 53.65188 -2.5723
10738.01935 -1.0 54.37188 -1.83638
10742.01946 -1.0 55.10049 -1.08819
10746.01956 -1.0 55.83771 -0.32774
10750.01967 -1.0 56.58353 0.44498
10754.01977 -1.0 57.33797 1.22996
10758.01988 -1.0 58.10101 2.02719
10762.01998 -1.0 58.87264 2.83667
10766.02009 -1.0 59.65288 3.65839
10770.0202 -1.0 60.4417 4.49236
10774.0203 -1.0 61.23912 5.33857
10778.02041 -1.0 62.04513 6.19701
10782.02051 -1.0 62.85972 7.06768
10786.02062 -1.0 63.6829 7.95057
10790.02072 -1.0 64.51465 8.84569
10794.02083 -1.0 65.35498 9.75303
10798.02094 -1.0 66.20389 10.67258
10802.02104 -1.0 67.06137 11.60434
10806.02115 -1.0 67.92741 12.5483
10810.02125 -1.0 68.80202 13.50447
10814.02136 -1.0 69.6852 14.47283
10818.02147 -1.0 70.57693 15.45338
10822.02157 -1.0 71.47722 16.44613
10826.02168 -1.0 72.38606 17.45106
10830.02178 -1.0 73.30346 18.46817
10834.02189 -1.0 74.2294 19.49746
10838.02199 -1.0 75.16389 20.53892
10842.0221 -1.0 76.10692 21.59255
10846.02221 -1.0 77.05849 22.65834
10850.02231 -1.0 78.01859 23.73629
10854.02242 -1.0 78.98723 24.8264
10858.02252 -1.0 79.9644 25.92867
10862.02263 -1.0 80.9501 27.04308
10866.02273 -1.0 81.94433 28.16963
10870.02284 -1.0 82.94707 29.30833
10874.02295 -1.0 83.95834 30.45916
10878.02305 -1.0 84.97812 31.62212
10882.02316 -1.0 86.00642 32.79722
10886.02326 -1.0 87.04323 33.98443
10890.02337 -1.0 88.08854 35.18377
10894.02347 -1.0 89.14236 36.39522
10898.02358 -1.0 90.20468 37.61878
10902.02369 -1.0 91.27551 38.85445
10906.02379 -1.0 92.35482 40.10222
10910.0239 -1.0 93.44264 41.36209
10914.024 -1.0 94.53894 42.63406
10918.02411 -1.0 95.64373 43.91812
10922.02421 -1.0 96.757 45.21427
10926.02432 -1.0 97.87876 46.5225
10930.02443 -1.0 99.009 47.84281
10934.02453 -1.0 100.14771 49.17519
10938.02464 -1.0 101.2949 50.51964
10942.02474 -1.0 102.45055 51.87616
10946.02485 -1.0 103.61468 53.24475
10950.02495 -1.0 104.78727 54.62539
10954.02506 -1.0 105.96832 56.01808
10958.02517 -1.0 107.15783 57.42283
10962.02527 -1.0 108.3558 58.83962
10966.02538 -1.0 109.56222 60.26846
10970.02548 -1.0 110.77709 61.70933
10974.02559 -1.0 112.0004 63.16224
10978.02569 -1.0 113.23217 64.62718
10982.0258 -1.0 114.47237 66.10414
10986.02591 -1.0 115.72101 67.59313
10990.02601 -1.0 116.97809 69.09413
10994.02612 -1.0 118.24361 70.60715
10998.02622 -1.0 119.51755 72.13217
11002.02633 -1.0 120.79992 73.6692
11006.02643 -1.0 122.09072 75.21824
11010.02654 -1.0 123.38993 76.77927
11014.02665 -1.0 124.69757 78.35229
11018.02675 -1.0 126.01362 79.9373
11022.02686 -1.0 127.33809 81.5343
11026.02696 -1.0 128.67096 83.14328
11030.02707 -1.0 130.01225 84.76424
11034.02717 -1.0 131.36193 86.39717
11038.02728 -1.0 132.72002 88.04207
11042.02739 -1.0 134.08651 89.69893
11046.02749 -1.0 135.46139 91.36775
11050.0276 -1.0 136.84467 93.04853
11054.0277 -1.0 138.23634 94.74127
11058.02781 -1.0 139.63639 96.44595
11062.02792 -1.0 141.04483 98.16257
11066.02802 -1.0 142.46165 99.89114
11070.02813 -1.0 143.88685 101.63164
11074.02823 -1.0 145.32042 103.38407
11078.02834 -1.0 146.76237 105.14844
11082.02844 -1.0 148.21269 106.92472
11086.02855 -1.0 149.67137 108.71293
11090.02866 -1.0 151.13842 110.51305
11094.02876 -1.0 152.61383 112.32508
11098.02887 -1.0 154.0976 114.14902
11102.02897 -1.0 155.58972 115.98487
11106.02908 -1.0 157.0902 117.83261
11110.02918 -1.0 158.59903 119.69225
11114.02929 -1.0 160.1162 121.56378
11118.0294 -1.0 161.64172 123.4472
11122.0295 -1.0 163.17558 125.3425
11126.02961 -1.0 164.71778 127.24968
11130.02971 -1.0 166.26831 129.16874
11134.02982 -1.0 167.82717 131.09966
11138.02992 -1.0 169.39437 133.04246
11142.03003 -1.0 170.96989 134.99711
11146.03014 -1.0 172.55374 136.96363
11150.03024 -1.0 174.14591 138.942
11154.03035 -1.0 175.7464 140.93222
11158.03045 -1.0 177.3552 142.93428
11162.03056 -1.0 178.97231 144.94819
11166.03066 -1.0 180.59774 146.97394
11170.03077 -1.0 182.23147 149.01152
11174.03088 -1.0 183.8735 151.06093
11178.03098 -1.0 185.52384 153.12217
11182.03109 -1.0 187.18247 155.19523
11186.03119 -1.0 188.8494 157.28011
11190.0313 -1.0 190.52462 159.3768
11194.0314 -1.0 192.20814 161.4853
11198.03151 -1.0 193.89994 163.6056
11202.03162 -1.0 195.60002 165.73771
11206.03172 -1.0 197.30838 167.88162
11210.03183 -1.0 199.02502 170.03732
11214.03193 -1.0 200.74994 172.20481
11218.03204 -1.0 202.48313 174.38408
11222.03214 -1.0 204.22459 176.57513
11226.03225 -1.0 205.97431 178.77797
11230.03236 -1.0 207.7323 180.99257
11234.03246 -1.0 209.49855 183.21895
11238.03257 -1.0 211.27306 185.45708
11242.03267 -1.0 213.05582 187.70698
11246.03278 -1.0 214.84683 189.96864
11250.03288 -1.0 216.6461 192.24205
11254.03299 -1.0 218.45361 194.52721
11258.0331 -1.0 220.26936 196.82411
11262.0332 -1.0 222.09336 199.13275
11266.03331 -1.0 223.92559 201.45313
11270.03341 -1.0 225.76606 203.78524
11274.03352 -1.0 227.61476 206.12908
11278.03362 -1.0 229.47169 208.48465
11282.03373 -1.0 231.33685 210.85193
11286.03384 -1.0 233.21023 213.23093
11290.03394 -1.0 235.09183 215.62164
11294.03405 -1.0 236.98164 218.02406
11298.03415 -1.0 238.87968 220.43818
11302.03426 -1.0 240.78592 222.864
11306.03437 -1.0 242.70037 225.30152
11310.03447 -1.0 244.62303 227.75073
11314.03458 -1.0 246.5539 230.21163
11318.03468 -1.0 248.49296 232.68421
11322.03479 -1.0 250.44022 235.16847
11326.03489 -1.0 252.39568 237.6644
11330.035 -1.0 254.35933 240.17201
11334.03511 -1.0 256.33117 242.69128
11338.03521 -1.0 258.31119 245.22222
11342.03532 -1.0 260.2994 247.76481
11346.03542 -1.0 262.29578 250.31906
11350.03553 -1.0 264.30035 252.88496
11354.03563 -1.0 266.31309 255.46251
11358.03574 -1.0 268.334 258.0517
11362.03585 -1.0 270.36308 260.65252
11366.03595 -1.0 272.40033 263.26498
11370.03606 -1.0 274.44574 265.88908
11374.03616 -1.0 276.49931 268.52479
11378.03627 -1.0 278.56103 271.17214
11382.03637 -1.0 280.63092 273.83109
11386.03648 -1.0 282.70895 276.50167
11390.03659 -1.0 284.79513 279.18385
11394.03669 -1.0 286.88946 281.87764
11398.0368 -1.0 288.99193 284.58303
11402.0369 -1.0 291.10254 287.30001
11406.03701 -1.0 293.22129 290.02859
11410.03711 -1.0 295.34818 292.76877
11414.03722 -1.0 297.48319 295.52052
11418.03733 -1.0 299.62633 298.28386
11422.03743 -1.0 301.7776 301.05877
11426.03754 -1.0 303.937 303.84526
11430.03764 -1.0 306.10451 306.64332
11434.03775 -1.0 308.28014 309.45294
11438.03785 -1.0 310.46388 312.27412
11442.03796 -1.0 312.65574 315.10686
11446.03807 -1.0 314.8557 317.95115
11450.03817 -1.0 317.06377 320.807
11454.03828 -1.0 319.27994 323.67438
11458.03838 -1.0 321.50422 326.55331
11462.03849 -1.0 323.73659 329.44377
11466.03859 -1.0 325.97705 332.34577
11470.0387 -1.0 328.22561 335.25929
11474.03881 -1.0 330.48225 338.18434
11478.03891 -1.0 332.74698 341.12091
11482.03902 -1.0 335.01979 344.06899
11486.03912 -1.0 337.30068 347.02859
11490.03923 -1.0 339.58965 349.99969
11494.03933 -1.0 341.8867 352.9823
11498.03944 -1.0 344.19181 355.9764
11502.03955 -1.0 346.50499 358.98201
11506.03965 -1.0 348.82624 361.9991
11510.03976 -1.0 351.15555 365.02769
11514.03986 -1.0 353.49292 368.06775
11518.03997 -1.0 355.83835 371.1193
11522.04008 -1.0 358.19183 374.18232
11526.04018 -1.0 360.55337 377.25681
11530.04029 -1.0 362.92295 380.34277
11534.04039 -1.0 365.30057 383.44019
11538.0405 -1.0 367.68624 386.54907
11542.0406 -1.0 370.07995 389.66941
11546.04071 -1.0 372.4817 392.80119
11550.04082 -1.0 374.89148 395.94443
11554.04092 -1.0 377.30929 399.0991
11558.04103 -1.0 379.73513 402.26522
11562.04113 -1.0 382.16899 405.44277
11566.04124 -1.0 384.61088 408.63174
11570.04134 -1.0 387.06078 411.83215
11574.04145 -1.0 389.5187 415.04398
11578.04156 -1.0 391.98464 418.26722
11582.04166 -1.0 394.45859 421.50189
11586.04177 -1.0 396.94054 424.74796
11590.04187 -1.0 399.4305 428.00543
11594.04198 -1.0 401.92847 431.27431
11598.04208 -1.0 404.43443 434.55459
11602.04219 -1.0 406.94839 437.84626
11606.0423 -1.0 409.47034 441.14932
11610.0424 -1.0 412.00028 444.46376
11614.04251 -1.0 414.53821 447.78959
11618.04261 -1.0 417.08413 451.12679
11622.04272 -1.0 419.63803 454.47537
11626.04282 -1.0 422.19991 457.83531
11630.04293 -1.0 424.76976 461.20663
11634.04304 -1.0 427.34759 464.5893
11638.04314 -1.0 429.93339 467.98333
11642.04325 -1.0 432.52715 471.38871
11646.04335 -1.0 435.12888 474.80544
11650.04346 -1.0 437.73858 478.23352
11654.04356 -1.0 440.35623 481.67294
11658.04367 -1.0 442.98184 485.12369
11662.04378 -1.0 445.6154 488.58578
11666.04388 -1.0 448.25691 492.05919
11670.04399 -1.0 450.90637 495.54393
11674.04409 -1.0 453.56378 499.03999
11678.0442 -1.0 456.22913 502.54736
11682.0443 -1.0 458.90241 506.06605
11686.04441 -1.0 461.58363 509.59605
11690.04452 -1.0 464.27279 513.13735
11694.04462 -1.0 466.96988 516.68995
11698.04473 -1.0 469.67489 520.25384
11702.04483 -1.0 472.38783 523.82903
11706.04494 -1.0 475.10869 527.4155
11710.04504 -1.0 477.83747 531.01326
11714.04515 -1.0 480.57417 534.6223
11718.04526 -1.0 483.31878 538.24261
11722.04536 -1.0 486.07129 541.8742
11726.04547 -1.0 488.83172 545.51705
11730.04557 -1.0 491.60005 549.17116
11734.04568 -1.0 494.37629 552.83654
11738.04578 -1.0 497.16042 556.51317
11742.04589 -1.0 499.95245 560.20105
11746.046 -1.0 502.75237 563.90017
11750.0461 -1.0 505.56018 567.61054
11754.04621 -1.0 508.37588 571.33215
11758.04631 -1.0 511.19946 575.065
11762.04642 -1.0 514.03093 578.80907
11766.04653 -1.0 516.87027 582.56437
11770.04663 -1.0 519.71749 586.33089
11774.04674 -1.0 522.57258 590.10863
11778.04684 -1.0 525.43555 593.89759
11782.04695 -1.0 528.30638 597.69775
11786.04705 -1.0 531.18507 601.50913
11790.04716 -1.0 534.07163 605.3317
11794.04727 -1.0 536.96604 609.16547
11798.04737 -1.0 539.86831 613.01044
11802.04748 -1.0 542.77844 616.86659
11806.04758 -1.0 545.69641 620.73393
11810.04769 -1.0 548.62223 624.61245
11814.04779 -1.0 551.5559 628.50215
11818.0479 -1.0 554.4974 632.40303
11822.04801 -1.0 557.44675 636.31507
11826.04811 -1.0 560.40393 640.23828
11830.04822 -1.0 563.36894 644.17265
11834.04832 -1.0 566.34178 648.11817
11838.04843 -1.0 569.32246 652.07485
11842.04853 -1.0 572.31095 656.04268
11846.04864 -1.0 575.30727 660.02166
11850.04875 -1.0 578.3114 664.01177
11854.04885 -1.0 581.32335 668.01302
11858.04896 -1.0 584.34311 672.0254
11862.04906 -1.0 587.37069 676.04892
11866.04917 -1.0 590.40606 680.08355
11870.04927 -1.0 593.44925 684.12931
11874.04938 -1.0 596.50023 688.18618
11878.04949 -1.0 599.55902 692.25417
11882.04959 -1.0 602.62559 696.33326
11886.0497 -1.0 605.69997 700.42346
11890.0498 -1.0 608.78213 704.52476
11894.04991 -1.0 611.87207 708.63715
11898.05001 -1.0 614.9698 712.76064
11902.05012 -1.0 618.07532 716.89521
11906.05023 -1.0 621.18861 721.04087
11910.05033 -1.0 624.30967 725.19761
11914.05044 -1.0 627.43851 729.36542
11918.05054 -1.0 630.57512 733.54431
11922.05065 -1.0 633.7195 737.73426
11926.05075 -1.0 636.87163 741.93527
11930.05086 -1.0 640.03153 746.14735
11934.05097 -1.0 643.19919 750.37048
11938.05107 -1.0 646.37461 754.60466
11942.05118 -1.0 649.55777 758.84988
11946.05128 -1.0 652.74869 763.10615
11950.05139 -1.0 655.94735 767.37346
11954.05149 -1.0 659.15375 771.65181
11958.0516 -1.0 662.3679 775.94118
11962.05171 -1.0 665.58978 780.24158
11966.05181 -1.0 668.8194 784.55301
11970.05192 -1.0 672.05675 788.87545
11974.05202 -1.0 675.30184 793.20891
11978.05213 -1.0 678.55464 797.55338
11982.05224 -1.0 681.81517 801.90885
11986.05234 -1.0 685.08343 806.27532
11990.05245 -1.0 688.3594 810.6528
11994.05255 -1.0 691.64308 815.04127
11998.05266 -1.0 694.93448 819.44072
12002.05276 -1.0 698.23358 823.85117
12006.05287 -1.0 701.5404 828.27259
12010.05298 -1.0 704.85491 832.70499
12014.05308 -1.0 708.17713 837.14837
12018.05319 -1.0 711.50704 841.60272
12022.05329 -1.0 714.84465 846.06803
12026.0534 -1.0 718.18995 850.5443
12030.0535 -1.0 721.54294 855.03153
12034.05361 -1.0 724.90362 859.52971
12038.05372 -1.0 728.27198 864.03885
12042.05382 -1.0 731.64802 868.55892
12046.05393 -1.0 735.03174 873.08994
12050.05403 -1.0 738.42313 877.6319
12054.05414 -1.0 741.8222 882.18479
12058.05424 -1.0 745.22893 886.7486
12062.05435 -1.0 748.64333 891.32334
12066.05446 -1.0 752.0654 895.90901
12070.05456 -1.0 755.49512 900.50558
12074.05467 -1.0 758.9325 905.11308
12078.05477 -1.0 762.37754 909.73147
12082.05488 -1.0 765.83023 914.36078
12086.05498 -1.0 769.29056 919.00098
12090.05509 -1.0 772.75855 923.65208
12094.0552 -1.0 776.23417 928.31407
12098.0553 -1.0 779.71744 932.98695
12102.05541 -1.0 783.20834 937.67072
12106.05551 -1.0 786.70688 942.36536
12110.05562 -1.0 790.21305 947.07088
12114.05572 -1.0 793.72685 951.78727
12118.05583 -1.0 797.24828 956.51453
12122.05594 -1.0 800.77733 961.25265
12126.05604 -1.0 804.31399 966.00163
12130.05615 -1.0 807.85828 970.76147
12134.05625 -1.0 811.41018 975.53216
12138.05636 -1.0 814.96969 980.31369
12142.05646 -1.0 818.53681 985.10607
12146.05657 -1.0 822.11154 989.90929
12150.05668 -1.0 825.69387 994.72334
12154.05678 -1.0 829.2838 999.54822
12158.05689 -1.0 832.88132 1004.38393
12162.05699 -1.0 836.48645 1009.23046
12166.0571 -1.0 840.09916 1014.08781
12170.0572 -1.0 843.71946 1018.95598
12174.05731 -1.0 847.34735 1023.83495
12178.05742 -1.0 850.98282 1028.72474
12182.05752 -1.0 854.62587 1033.62532
12186.05763 -1.0 858.27649 1038.5367
12190.05773 -1.0 861.93469 1043.45888
12194.05784 -1.0 865.60047 1048.39185
12198.05794 -1.0 869.27381 1053.3356
12202.05805 -1.0 872.95471 1058.29013
12206.05816 -1.0 876.64318 1063.25545
12210.05826 -1.0 880.33921 1068.23153
12214.05837 -1.0 884.0428 1073.21839
12218.05847 -1.0 887.75394 1078.21601
12222.05858 -1.0 891.47263 1083.22439
12226.05869 -1.0 895.19887 1088.24353
12230.05879 -1.0 898.93266 1093.27343
12234.0589 -1.0 902.67398 1098.31407
12238.059 -1.0 906.42285 1103.36546
12242.05911 -1.0 910.17926 1108.42759
12246.05921 -1.0 913.94319 1113.50045
12250.05932 -1.0 917.71466 1118.58405
12254.05943 -1.0 921.49366 1123.67838
12258.05953 -1.0 925.28019 1128.78343
12262.05964 -1.0 929.07423 1133.89921
12266.05974 -1.0 932.8758 1139.0257
12270.05985 -1.0 936.68488 1144.1629
12274.05995 -1.0 940.50148 1149.31081
12278.06006 -1.0 944.32558 1154.46943
12282.06017 -1.0 948.1572 1159.63874
12286.06027 -1.0 951.99632 1164.81876
12290.06038 -1.0 955.84294 1170.00946
12294.06048 -1.0 959.69707 1175.21085
12298.06059 -1.0 963.55869 1180.42293
12302.06069 -1.0 967.4278 1185.64569
12306.0608 -1.0 971.3044 1190.87912
12310.06091 -1.0 975.1885 1196.12322
12314.06101 -1.0 979.08007 1201.37799
12318.06112 -1.0 982.97913 1206.64343
12322.06122 -1.0 986.88567 1211.91952
12326.06133 -1.0 990.79969 1217.20628
12330.06143 -1.0 994.72118 1222.50368
12334.06154 -1.0 998.65014 1227.81173
12338.06165 -1.0 1002.58657 1233.13042
12342.06175 -1.0 1006.53046 1238.45975
12346.06186 -1.0 1010.48182 1243.79972
12350.06196 -1.0 1014.44063 1249.15031
12354.06207 -1.0 1018.4069 1254.51154
12358.06217 -1.0 1022.38063 1259.88338
12362.06228 -1.0 1026.3618 1265.26585
12366.06239 -1.0 1030.35043 1270.65893
12370.06249 -1.0 1034.3465 1276.06262
12374.0626 -1.0 1038.35001 1281.47692
12378.0627 -1.0 1042.36096 1286.90182
12382.06281 -1.0 1046.37934 1292.33732
12386.06291 -1.0 1050.40516 1297.78341
12390.06302 -1.0 1054.43841 1303.24009
12394.06313 -1.0 1058.47909 1308.70736
12398.06323 -1.0 1062.52719 1314.18521
12402.06334 -1.0 1066.58272 1319.67364
12406.06344 -1.0 1070.64566 1325.17265
12410.06355 -1.0 1074.71602 1330.68222
12414.06365 -1.0 1078.79379 1336.20236
12418.06376 -1.0 1082.87898 1341.73306
12422.06387 -1.0 1086.97157 1347.27431
12426.06397 -1.0 1091.07157 1352.82613
12430.06408 -1.0 1095.17896 1358.38849
12434.06418 -1.0 1099.29376 1363.96139
12438.06429 -1.0 1103.41595 1369.54484
12442.0644 -1.0 1107.54554 1375.13882
12446.0645 -1.0 1111.68252 1380.74334
12450.06461 -1.0 1115.82688 1386.35839
12454.06471 -1.0 1119.97863 1391.98396
12458.06482 -1.0 1124.13776 1397.62005
12462.06492 -1.0 1128.30427 1403.26666
12466.06503 -1.0 1132.47816 1408.92378
12470.06514 -1.0 1136.65942 1414.59141
12474.06524 -1.0 1140.84804 1420.26955
12478.06535 -1.0 1145.04404 1425.95818
12482.06545 -1.0 1149.2474 1431.65731
12486.06556 -1.0 1153.45812 1437.36694
12490.06566 -1.0 1157.67621 1443.08705
12494.06577 -1.0 1161.90164 1448.81764
